version,rank,eigenvalue,n_samples
v13,498,1.617067e-07,65536
v13,499,1.5909148e-07,65536
v13,500,1.5616487e-07,65536
v13,501,1.5539055e-07,65536
v13,502,1.5302228e-07,65536
v13,503,1.5118779e-07,65536
v13,504,1.486532e-07,65536
v13,505,1.4781965e-07,65536
v13,506,1.4345314e-07,65536
v13,507,1.4038572e-07,65536
v13,508,1.3957268e-07,65536
v13,509,1.3704937e-07,65536
v13,510,1.360068e-07,65536
v13,511,1.3424383e-07,65536
v13,512,1.3355142e-07,65536
v13,513,1.3216906e-07,65536
v13,514,1.2929354e-07,65536
v13,515,1.2699093e-07,65536
v13,516,1.2531864e-07,65536
v13,517,1.2459314e-07,65536
v13,518,1.221849e-07,65536
v13,519,1.2122727e-07,65536
v13,520,1.1961802e-07,65536
v13,521,1.18094924e-07,65536
v13,522,1.1745838e-07,65536
v13,523,1.1326763e-07,65536
v13,524,1.1285853e-07,65536
v13,525,1.1005759e-07,65536
v13,526,1.0888014e-07,65536
v13,527,1.0808854e-07,65536
v13,528,1.0749464e-07,65536
v13,529,1.05970116e-07,65536
v13,530,1.0388432e-07,65536
v13,531,1.0127575e-07,65536
v13,532,1.00490126e-07,65536
v13,533,9.952547e-08,65536
v13,534,9.8748444e-08,65536
v13,535,9.7396914e-08,65536
v13,536,9.7071144e-08,65536
v13,537,9.6374805e-08,65536
v13,538,9.5186266e-08,65536
v13,539,9.3118246e-08,65536
v13,540,9.218242e-08,65536
v13,541,9.074263e-08,65536
v13,542,8.9774844e-08,65536
v13,543,8.831196e-08,65536
v13,544,8.6117524e-08,65536
v13,545,8.511095e-08,65536
v13,546,8.458156e-08,65536
v13,547,8.417772e-08,65536
v13,548,8.1959804e-08,65536
v13,549,8.0123534e-08,65536
v13,550,7.9352105e-08,65536
v13,551,7.867068e-08,65536
v13,552,7.825211e-08,65536
v13,553,7.671564e-08,65536
v13,554,7.601771e-08,65536
v13,555,7.428068e-08,65536
v13,556,7.351707e-08,65536
v13,557,7.2783955e-08,65536
v13,558,7.2580626e-08,65536
v13,559,7.0826815e-08,65536
v13,560,7.0145674e-08,65536
v13,561,6.922916e-08,65536
v13,562,6.8481654e-08,65536
v13,563,6.727297e-08,65536
v13,564,6.625254e-08,65536
v13,565,6.4725334e-08,65536
v13,566,6.3547375e-08,65536
v13,567,6.285007e-08,65536
v13,568,6.199401e-08,65536
v13,569,6.164325e-08,65536
v13,570,6.111022e-08,65536
v13,571,5.9943275e-08,65536
v13,572,5.8367945e-08,65536
v13,573,5.7639042e-08,65536
v13,574,5.6766602e-08,65536
v13,575,5.6278406e-08,65536
v13,576,5.564178e-08,65536
v13,577,5.442237e-08,65536
v13,578,5.340837e-08,65536
v13,579,5.2652126e-08,65536
v13,580,5.2025378e-08,65536
v13,581,5.0787285e-08,65536
v13,582,4.997832e-08,65536
v13,583,4.9784084e-08,65536
v13,584,4.9455572e-08,65536
v13,585,4.8848516e-08,65536
v13,586,4.7864052e-08,65536
v13,587,4.7604104e-08,65536
v13,588,4.6320036e-08,65536
v13,589,4.5632607e-08,65536
v13,590,4.52071e-08,65536
v13,591,4.4122032e-08,65536
v13,592,4.385403e-08,65536
v13,593,4.3701988e-08,65536
v13,594,4.2875048e-08,65536
v13,595,4.28125e-08,65536
v13,596,4.1965766e-08,65536
v13,597,4.1686658e-08,65536
v13,598,4.0545196e-08,65536
v13,599,4.0012686e-08,65536
v13,600,3.982015e-08,65536
v13,601,3.935838e-08,65536
v13,602,3.883099e-08,65536
v13,603,3.8706972e-08,65536
v13,604,3.8116795e-08,65536
v13,605,3.7398898e-08,65536
v13,606,3.6750738e-08,65536
v13,607,3.653843e-08,65536
v13,608,3.5799467e-08,65536
v13,609,3.5023874e-08,65536
v13,610,3.4472972e-08,65536
v13,611,3.4275633e-08,65536
v13,612,3.3704428e-08,65536
v13,613,3.348132e-08,65536
v13,614,3.2951956e-08,65536
v13,615,3.2190396e-08,65536
v13,616,3.2183973e-08,65536
v13,617,3.1443726e-08,65536
v13,618,3.0782747e-08,65536
v13,619,3.0127307e-08,65536
v13,620,2.9677048e-08,65536
v13,621,2.9209003e-08,65536
