true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Mesculenta,2,1,2,12,1,3,1,0,0,3,12,4,3,1,20,5,4,5,2,2,7,2,1,1,0,2,6,2,1,2,3,3,1,0,1,1,553,1,0,2,5,0,3,0,8,16,16,1,2,5,75,1,1,0,0,14,0,0,1,0,3,7,15,1,2
Msinensis,0,0,0,0,0,1,8,1,0,0,1,0,0,2,0,0,0,0,0,0,2,1,45,0,0,1,2,0,7,0,0,0,1,2,0,1,0,157,0,0,0,14,15,1,0,0,0,65,77,0,0,69,1,0,0,2,57,13,10,0,1,0,0,0,77
Mtruncatula,3,0,1,8,0,0,0,1,2,1,1,75,1,0,0,0,1,5,0,1,1,1,0,0,0,0,16,1,1,16,74,43,0,2,0,1,0,0,425,0,1,0,0,0,3,1,0,0,0,3,0,0,5,1,0,1,1,0,0,0,32,9,0,0,0
Ncolorata,2,0,0,1,3,0,0,2,0,1,11,1,1,8,2,2,3,0,1,2,4,3,4,12,1,2,0,0,2,0,3,0,0,1,4,2,3,0,1,827,0,2,4,0,1,7,2,4,2,1,2,0,2,3,8,4,0,2,1,2,1,2,4,0,0
Oeuropaea,0,3,0,1,6,1,0,2,1,4,7,3,4,4,8,6,0,2,2,5,2,0,1,4,1,2,3,1,1,2,3,4,2,2,2,4,6,1,3,1,501,0,1,1,10,4,2,0,0,2,2,1,1,1,1,5,0,0,0,3,2,5,3,2,0
Osativa,1,1,0,2,0,1,20,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,49,0,1,5,1,1,7,1,0,0,0,0,1,0,3,21,1,1,1,405,22,0,2,1,0,37,45,0,0,40,0,3,1,2,38,16,6,0,0,1,0,0,22
Othomaeum,4,1,0,1,1,0,25,0,0,0,2,0,1,2,0,3,0,0,0,1,0,2,143,0,0,2,1,0,2,0,0,2,0,1,2,0,0,22,0,0,0,23,309,1,1,1,3,54,39,0,0,25,1,1,1,0,48,9,9,1,0,0,0,0,39
Pamilis,0,0,2,1,1,1,1,0,1,28,2,2,0,2,4,0,2,7,2,1,0,0,1,3,1,4,3,2,1,0,1,5,1,4,1,3,1,0,1,0,1,0,0,632,3,1,4,1,2,0,1,0,18,3,0,1,0,0,2,5,0,1,4,0,1
Ppersica,5,1,0,3,2,0,1,4,1,3,6,0,13,3,14,14,0,2,3,6,5,2,3,0,3,48,6,0,1,1,2,5,0,2,2,130,6,1,1,2,3,1,2,3,378,9,11,0,0,7,8,0,2,3,0,7,0,3,0,4,0,2,8,0,0
Ptrichocarpa,2,2,2,1,1,0,0,5,0,1,7,3,4,6,18,8,0,1,0,1,3,1,1,5,1,2,3,1,0,0,0,2,1,1,2,2,19,0,3,3,0,1,0,0,7,392,13,0,0,3,7,1,1,0,0,259,0,0,0,2,2,4,5,0,0
Ptrifoliata,1,1,1,1,4,2,0,3,4,3,9,1,6,5,302,11,1,4,2,1,4,0,0,2,1,7,6,0,0,2,2,4,1,0,2,2,24,1,0,0,6,0,1,0,12,12,281,1,0,5,20,1,4,2,0,9,0,0,1,2,1,3,1,0,1
Pvaginatum,1,1,0,1,1,0,37,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,61,0,0,1,0,1,13,0,0,0,1,0,0,0,0,44,0,1,2,22,47,0,0,0,0,260,79,1,1,55,1,0,0,0,67,15,14,1,1,0,0,0,67
Pvirgatum,0,3,0,4,1,0,31,1,0,0,1,1,0,0,0,0,0,1,3,0,0,0,49,0,1,0,0,0,15,0,0,1,0,0,1,1,0,55,0,1,1,35,39,2,0,1,1,70,231,0,2,48,1,0,0,0,99,12,13,0,0,1,0,0,59
Qrubra,2,2,0,4,1,0,1,27,2,0,4,3,38,0,9,22,7,5,0,5,3,0,0,1,0,6,8,0,1,2,1,5,1,0,1,6,3,0,0,1,1,2,0,2,6,5,7,0,1,677,3,0,1,0,1,4,0,1,2,5,1,1,20,0,0
Rcommunis,1,2,0,4,3,1,1,2,0,1,7,1,3,2,29,6,0,1,2,1,6,4,0,3,1,0,4,0,0,1,0,1,0,1,1,2,133,1,0,2,2,1,0,3,13,6,22,0,0,4,283,0,2,1,0,14,0,0,0,1,1,5,8,0,0
Sbicolor,1,1,1,1,1,1,15,0,0,0,1,1,0,0,2,0,1,1,0,1,0,0,51,0,0,0,0,0,8,0,0,1,1,0,1,0,1,67,0,0,0,35,25,0,0,1,0,58,74,0,0,286,0,1,0,0,54,10,6,1,0,0,0,0,79
Soleracea,3,0,5,1,3,2,0,2,0,179,1,1,0,1,2,0,2,142,0,3,2,3,0,0,0,5,1,0,1,3,3,3,0,1,0,2,3,0,0,0,1,1,0,7,5,2,1,2,1,4,1,0,491,2,0,1,0,1,3,2,2,1,2,0,1
Sparvula,1,2,0,1,0,133,2,1,100,3,2,0,0,1,3,1,0,5,79,1,0,0,2,4,126,1,1,3,2,0,2,0,2,7,0,1,0,0,2,0,1,1,2,0,0,0,2,0,1,0,0,0,3,214,0,0,2,1,1,0,3,2,0,0,2
Spolyrhiza,1,2,1,0,5,0,2,0,0,0,1,0,0,7,0,1,1,1,0,2,3,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,12,1,0,5,0,0,0,0,2,2,0,0,0,0,0,569,0,0,2,3,1,0,1,5,0,1
Spurpurea,0,1,0,1,0,2,1,1,0,1,3,4,4,4,6,5,1,3,2,1,6,2,0,3,1,5,5,1,0,0,1,3,0,0,0,1,13,1,0,1,1,0,1,0,7,246,7,0,2,3,7,1,1,1,0,432,1,1,0,0,0,4,6,0,1
Sviridis,1,2,0,2,2,0,39,0,1,0,2,0,1,0,2,0,0,0,1,0,2,0,70,1,0,0,0,0,12,0,0,0,0,0,0,0,0,39,0,3,0,26,59,1,0,0,0,109,73,1,0,44,0,0,0,0,187,18,13,0,1,0,0,0,39
Taestivum,0,0,0,0,0,0,93,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,15,2,1,0,0,0,150,0,0,0,1,0,0,0,0,10,0,1,1,6,10,1,1,0,0,19,16,0,0,4,0,0,0,1,13,252,187,0,1,1,0,0,11
Tintermedium,1,0,0,1,1,0,82,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,16,1,2,0,0,0,139,0,0,0,0,3,1,2,1,4,0,1,1,8,15,1,1,0,0,17,17,0,0,14,2,0,1,0,17,206,231,2,0,1,0,1,10
Vdarrowii,2,1,0,0,4,1,2,6,0,6,9,0,1,5,3,7,4,3,2,1,2,5,1,6,1,3,1,1,1,0,0,1,0,2,0,16,2,0,1,7,2,0,2,6,6,3,2,0,3,3,1,2,2,2,1,2,0,3,1,785,1,2,3,0,1
Vfaba,1,1,1,14,0,1,0,2,0,1,1,84,1,0,1,2,0,2,1,3,4,4,0,0,0,0,14,1,0,6,202,12,2,1,0,1,1,0,41,5,5,0,0,0,0,4,1,1,0,2,1,0,2,1,0,1,0,0,0,0,328,20,2,1,1
Vunguiculata,1,1,1,18,1,5,0,1,3,1,3,25,2,0,5,5,1,1,4,2,2,1,1,0,2,2,98,3,2,8,23,13,2,0,0,3,3,1,8,1,1,0,1,0,3,6,3,1,0,1,1,0,1,7,0,5,0,1,0,0,26,473,5,0,0
Vvinifera,1,2,1,4,1,0,0,7,2,1,4,0,6,3,5,14,3,3,0,4,6,1,0,3,0,5,6,0,0,4,1,2,0,4,3,2,12,1,1,5,3,1,3,1,7,6,5,0,0,19,2,0,0,1,0,11,0,0,1,0,2,3,736,0,0
Zmarina,3,1,0,1,2,5,0,0,1,0,0,2,0,0,0,2,1,3,2,4,2,2,0,0,0,2,2,1,0,1,5,2,1,5,0,1,2,0,1,0,1,0,0,1,1,0,1,0,2,0,0,0,4,1,1,1,0,1,1,0,4,0,1,753,1
Zmays,4,0,1,1,1,0,16,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,36,0,0,2,1,1,9,2,0,2,0,0,2,1,0,49,0,0,3,13,34,0,1,0,1,68,46,0,1,51,4,0,2,0,40,10,12,0,0,1,0,0,450
