true_label,Acipenser ruthenus,Acropora millepora,Anguilla rostrata,Astatotilapia calliptera,Astyanax mexicanus,Biomphalaria glabrata,Brienomyrus brachyistius,Bubalus bubalis,Callithrix jacchus,Carassius gibelio,Cavia porcellus,Cervus canadensis,Choloepus didactylus,Clarias gariepinus,Clupea harengus,Conger conger,Crassostrea virginica,Ctenopharyngodon idella,Dasypus novemcinctus,Dreissena polymorpha,Elephas maximus indicus,Engraulis encrasicolus,Esox lucius,Fundulus heteroclitus,Gambusia affinis,Girardinichthys multiradiatus,Gopherus evgoodei,Haliotis rufescens,Hemicordylus capensis,Hippopotamus amphibius kiboko,Homo sapiens,Hoplias malabaricus,Ictalurus furcatus,Larimichthys crocea,Lates calcarifer,Lingula anatina,Lutra lutra,Macaca fascicularis,Manis pentadactyla,Mauremys reevesii,Melanotaenia boesemani,Mercenaria mercenaria,Micropterus dolomieu,Monodelphis domestica,Mus musculus,Mya arenaria,Mytilus trossulus,Necator americanus,Neoarius graeffei,Nycticebus coucang,Pangasianodon hypophthalmus,Panthera leo,Pimephales promelas,Pocillopora verrucosa,Pygocentrus nattereri,Rhineura floridana,Salvelinus sp. IW2-2015,Scleropages formosus,Sebastes umbrosus,Siniperca chuatsi,Strongylocentrotus purpuratus,Symphalangus syndactylus,Triplophysa dalaica,Xyrauchen texanus,Zalophus californianus
Ictalurus furcatus,52,4,10,16,21,6,13,1,1,57,0,1,0,40,8,6,2,15,1,3,2,9,12,11,12,9,2,10,7,1,4,18,68,5,10,11,4,0,0,5,9,6,7,2,2,6,5,3,24,0,28,2,16,4,17,6,11,16,16,12,4,4,20,43,1
Larimichthys crocea,21,4,4,33,20,1,7,1,1,31,0,0,0,13,4,5,3,9,1,0,1,19,5,30,30,14,0,6,1,0,1,10,17,94,38,5,1,0,2,3,24,1,22,2,4,0,0,0,11,4,14,0,11,0,15,0,10,6,68,33,2,0,9,20,2
Lates calcarifer,23,2,6,43,15,0,6,2,4,44,2,0,0,7,6,10,2,11,0,1,2,13,15,32,25,29,2,9,3,0,3,15,16,45,52,2,0,1,0,8,28,1,34,2,3,0,2,1,9,0,7,0,7,0,17,4,14,7,49,38,2,1,9,28,1
Lingula anatina,23,48,8,4,0,21,9,0,3,11,0,0,0,3,8,6,56,0,0,32,2,4,10,1,3,6,0,86,5,2,3,1,6,0,0,77,1,1,1,8,3,54,2,0,1,37,20,12,2,0,1,1,4,28,0,3,10,2,1,1,43,1,2,17,0
Lutra lutra,5,1,0,1,0,2,2,30,42,1,35,29,26,0,2,1,0,0,23,1,37,2,2,1,2,2,15,2,13,40,43,1,2,0,2,1,34,28,34,23,1,3,0,28,41,1,2,1,0,36,0,43,0,0,0,13,0,2,2,1,1,32,0,0,37
Macaca fascicularis,4,2,2,2,1,1,1,29,41,1,34,39,39,0,2,3,2,1,30,0,33,1,3,2,0,3,18,1,18,34,52,2,3,0,0,1,36,37,20,25,0,2,2,28,39,0,3,0,2,35,0,28,0,0,2,7,2,3,1,1,2,55,1,3,22
Manis pentadactyla,4,1,2,2,1,0,1,45,37,1,40,28,36,0,3,2,2,1,33,0,18,4,1,3,0,0,10,0,14,34,42,1,2,0,2,2,26,31,44,20,1,1,2,41,33,1,0,0,1,26,0,14,1,0,2,15,0,1,1,2,1,33,0,0,24
Mauremys reevesii,17,4,2,1,1,0,9,7,19,1,11,11,21,2,4,5,4,4,13,2,16,4,9,3,6,5,145,0,77,8,14,2,1,2,1,3,8,9,12,286,4,4,3,19,23,2,2,3,2,7,1,3,1,1,3,40,3,3,4,2,4,13,1,6,9
Melanotaenia boesemani,30,6,7,31,12,3,9,0,0,55,1,1,3,7,10,11,6,11,0,0,1,9,9,45,46,37,4,3,8,0,1,14,10,27,32,5,0,0,0,3,40,3,30,3,0,4,2,1,15,3,8,1,7,4,15,4,12,4,35,35,3,1,7,27,2
Mercenaria mercenaria,5,35,3,2,2,24,5,0,1,5,0,2,1,1,1,1,57,4,1,124,1,4,4,0,4,1,0,30,1,0,0,1,1,0,1,32,0,0,0,3,0,350,0,0,0,165,197,20,0,2,0,0,4,27,2,1,3,0,1,2,19,2,1,2,0
Micropterus dolomieu,25,2,12,25,5,1,14,0,1,32,0,0,3,5,15,18,3,10,1,2,3,23,21,28,26,17,2,7,3,1,2,14,7,32,39,4,0,1,3,8,25,2,55,1,5,4,2,2,12,2,7,1,10,0,14,2,20,8,35,44,5,0,10,38,3
Monodelphis domestica,5,2,5,1,1,3,1,26,30,0,14,21,27,1,1,1,1,1,19,2,20,0,6,3,0,0,10,0,46,14,27,0,5,0,0,3,12,10,16,21,1,1,0,243,63,2,7,0,1,10,0,19,0,0,2,29,4,1,0,0,1,17,0,3,9
Mus musculus,7,3,2,3,1,1,3,27,33,3,47,22,26,3,1,1,2,2,22,0,22,1,3,2,2,3,20,1,33,16,41,2,7,1,2,0,18,35,24,33,2,0,2,56,152,1,1,0,1,39,1,14,1,0,1,31,2,5,0,2,2,29,0,2,24
Mya arenaria,7,36,3,0,0,17,2,0,3,11,0,0,0,0,3,2,57,0,0,238,2,5,2,1,0,0,0,43,1,0,1,1,4,0,1,29,1,0,1,0,0,169,0,0,0,233,123,17,3,0,0,0,5,25,1,2,1,0,0,2,30,1,4,6,0
Mytilus trossulus,3,13,0,2,4,26,0,0,0,3,0,0,1,2,0,1,61,4,0,64,0,0,0,0,0,1,0,6,1,1,0,0,4,1,0,8,2,0,0,0,2,185,1,1,0,96,467,9,0,0,0,0,1,6,0,1,0,0,2,0,17,0,5,2,1
Necator americanus,1,42,0,0,0,2,0,0,0,2,1,0,0,0,3,1,3,0,0,6,0,4,0,0,0,1,0,11,0,0,0,0,0,0,0,6,1,0,0,0,1,9,0,1,0,5,8,619,0,1,0,0,0,29,0,3,1,3,0,0,22,1,0,1,0
Neoarius graeffei,34,6,9,21,34,4,15,1,3,51,4,1,2,52,17,15,2,14,0,2,2,13,10,11,9,17,0,6,5,1,2,36,26,18,14,4,1,0,0,7,11,6,13,2,2,2,1,3,56,0,40,2,15,2,31,5,12,15,20,12,12,5,12,31,0
Nycticebus coucang,5,0,4,1,0,0,5,38,61,3,32,30,27,2,1,0,3,0,28,0,24,2,1,0,0,3,11,0,13,32,39,1,2,1,3,3,34,47,23,20,0,4,1,37,37,1,3,0,2,29,0,23,3,2,1,20,0,2,2,1,3,51,0,5,27
Pangasianodon hypophthalmus,34,0,5,15,35,11,8,0,1,65,2,0,1,45,10,9,2,14,0,4,0,6,9,10,8,10,3,2,4,3,1,22,38,14,13,1,1,1,1,9,9,5,6,1,2,3,4,0,45,0,53,2,13,0,16,4,14,16,17,15,3,4,7,28,1
Panthera leo,2,1,0,0,0,2,4,27,33,0,27,30,27,2,2,3,2,1,18,1,31,1,2,2,0,3,12,0,9,32,49,1,2,1,0,6,30,28,24,22,0,2,0,42,38,0,4,2,2,29,0,45,0,1,1,18,0,1,3,3,2,36,1,1,32
Pimephales promelas,43,4,18,11,12,9,11,0,1,122,0,2,2,20,12,17,7,32,1,8,1,20,22,11,17,6,0,5,4,3,1,14,16,12,10,6,0,0,0,2,14,11,14,1,1,8,6,5,22,0,11,0,36,7,10,3,9,2,13,6,5,2,37,68,1
Pocillopora verrucosa,2,210,3,3,0,10,3,2,2,2,0,0,1,0,2,0,21,2,0,26,1,0,3,0,3,2,0,27,0,0,0,2,2,0,0,30,0,0,1,1,1,21,0,1,0,19,7,21,2,0,0,1,0,229,0,2,2,1,0,1,22,1,4,6,0
Pygocentrus nattereri,32,7,12,25,47,3,23,1,2,36,1,1,2,22,18,5,1,14,1,3,1,15,11,34,12,17,0,2,9,1,2,43,12,13,18,5,1,1,0,7,11,0,15,2,3,1,2,0,25,0,17,1,10,3,110,5,12,31,16,18,4,1,11,35,1
Rhineura floridana,15,3,3,0,0,3,12,8,13,3,10,7,9,4,1,0,0,1,5,2,7,4,4,3,3,0,17,2,205,3,10,0,4,1,1,6,6,2,4,66,2,2,1,31,24,0,1,2,3,5,1,11,1,0,4,189,3,8,0,1,3,10,1,5,4
Salvelinus sp. IW2-2015,38,8,34,12,5,5,10,3,1,20,1,1,1,9,35,30,7,9,2,9,1,45,60,4,7,7,2,25,6,1,2,6,8,8,8,9,0,1,1,12,9,7,11,4,4,6,1,2,9,3,7,0,13,6,5,4,88,2,13,10,15,2,9,43,1
Scleropages formosus,45,9,17,15,7,1,54,1,5,19,3,2,3,14,5,12,2,6,2,3,2,16,7,17,10,8,3,11,16,2,6,20,19,10,8,6,3,3,3,9,3,5,8,3,7,0,4,6,14,1,8,2,10,4,17,14,6,191,6,5,2,3,12,13,2
Sebastes umbrosus,12,1,9,13,28,6,9,0,2,41,0,0,0,10,17,6,0,17,0,1,1,15,8,28,17,20,0,9,2,0,1,15,9,63,35,1,0,1,1,4,21,6,32,5,2,2,1,0,12,1,23,0,12,3,15,1,8,6,140,30,0,2,5,19,0
Siniperca chuatsi,40,2,15,31,14,2,14,0,2,42,1,0,2,9,18,9,0,19,0,2,0,18,14,25,22,25,1,5,9,0,3,8,11,31,62,3,1,0,1,5,25,2,42,0,1,2,0,0,5,0,8,2,10,1,13,2,20,5,41,53,2,0,16,19,1
Strongylocentrotus purpuratus,11,48,2,4,1,25,10,1,0,2,2,1,2,0,5,7,55,5,0,44,1,9,6,2,0,1,1,58,2,2,0,2,5,0,0,44,1,0,0,4,2,34,1,1,0,37,21,13,3,0,0,0,4,39,0,0,13,3,0,1,213,0,2,5,1
Symphalangus syndactylus,6,2,3,1,1,0,3,27,62,0,29,33,42,3,1,0,1,2,21,2,21,2,3,2,1,1,11,2,25,36,73,2,3,1,0,1,21,42,37,33,1,1,2,40,41,2,7,0,3,32,1,29,0,2,0,14,1,0,0,2,0,75,2,1,39
Triplophysa dalaica,45,19,11,12,10,4,11,0,0,111,0,0,0,11,9,11,7,31,0,12,0,10,10,8,12,10,0,5,3,0,0,7,11,5,12,13,0,1,0,2,10,11,6,1,1,7,4,0,13,0,6,0,24,6,10,1,17,11,6,12,4,1,58,81,0
Xyrauchen texanus,76,10,32,20,17,9,21,1,4,121,2,2,1,14,10,22,7,31,1,9,3,46,38,16,19,18,3,21,10,0,0,22,29,9,17,12,1,2,0,7,19,12,20,3,3,2,8,4,19,1,19,1,43,7,15,3,15,12,16,17,9,4,58,140,0
Zalophus californianus,2,0,2,4,0,0,3,26,48,5,24,28,33,0,1,0,0,0,24,0,22,1,0,0,3,3,14,1,15,41,26,1,3,0,2,0,36,38,34,24,1,2,0,51,35,2,3,0,2,32,0,39,1,0,1,10,4,6,1,1,0,38,1,4,55
