true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Ppersica,23,9,7,4,10,4,8,22,0,12,28,0,33,10,16,11,53,6,4,9,8,6,5,12,3,32,7,6,1,7,2,14,4,7,7,35,7,0,14,26,2,3,3,22,89,12,11,3,2,25,8,4,7,0,2,17,1,4,3,30,3,5,15,6,3
Ptrichocarpa,8,2,5,5,3,4,2,11,3,5,24,9,9,1,22,22,11,13,1,5,21,5,3,1,5,4,17,4,1,6,3,8,3,4,3,3,29,1,13,11,5,3,1,0,19,210,13,1,3,26,12,1,5,5,2,116,0,2,2,8,7,14,33,9,2
Ptrifoliata,14,12,22,14,5,3,4,15,7,4,22,14,11,3,89,15,6,9,4,10,11,18,1,6,8,16,29,4,3,12,11,14,3,4,5,11,22,0,17,11,20,1,4,1,22,22,109,1,1,9,16,1,10,2,1,33,2,1,4,6,5,10,4,6,3
Pvaginatum,0,5,1,1,3,0,62,1,0,0,1,2,0,1,2,1,5,1,0,1,0,2,55,2,2,4,0,5,43,3,0,0,0,1,5,1,1,30,0,8,2,35,56,3,1,1,0,113,64,1,1,58,1,0,2,0,64,41,48,2,1,0,1,1,55
Pvirgatum,2,3,0,2,5,0,53,1,1,1,3,1,0,1,0,1,4,0,0,0,2,1,37,3,0,5,0,0,32,0,0,2,2,3,8,3,0,30,0,7,2,52,52,3,2,0,0,64,147,1,0,53,3,0,2,3,57,25,34,3,0,2,0,3,64
Qrubra,17,2,6,17,4,1,2,58,1,9,19,6,37,2,9,18,43,34,1,5,22,9,3,1,1,5,33,7,1,13,6,11,2,1,4,4,5,4,27,3,1,0,1,8,21,10,9,5,1,310,1,1,1,0,4,12,1,3,5,11,1,6,40,3,3
Rcommunis,8,2,7,27,7,1,4,2,1,8,13,23,1,0,19,13,4,7,4,14,15,16,1,1,1,0,32,0,1,13,2,6,7,0,7,0,51,2,5,5,3,0,1,5,13,15,20,1,1,9,117,2,0,2,2,27,1,0,4,1,3,10,19,7,0
Sbicolor,4,6,0,1,11,0,36,4,0,3,5,0,1,4,0,1,6,5,0,0,4,5,49,3,0,4,1,7,17,2,0,4,1,0,8,4,0,46,1,5,0,59,56,2,4,2,0,62,50,1,2,126,0,0,2,1,38,26,33,5,0,1,2,0,68
Soleracea,27,9,59,10,30,5,3,9,5,65,18,7,6,0,3,9,7,31,2,12,1,24,3,4,4,17,4,47,11,10,15,25,12,12,3,9,4,2,17,7,9,4,2,21,6,2,8,7,2,7,1,3,207,0,1,4,1,4,7,29,6,4,5,12,5
Sparvula,3,3,9,3,6,91,5,0,66,1,1,3,1,5,2,5,1,0,62,13,1,3,0,5,110,5,4,10,2,1,4,1,8,29,6,8,3,0,8,5,6,1,1,0,3,1,4,1,2,0,1,0,4,156,0,3,1,3,3,6,5,13,0,13,3
