target,n_classes,n_components,accuracy,f1_macro
kmer_entropy_1,5,768,0.971332659406054,0.9713148341579675
kmer_entropy_3,5,0,0.1989357035228595,0.19822448745410703
kmer_entropy_3,5,1,0.8180777813805337,0.8186010778919298
kmer_entropy_3,5,2,0.8457533044689008,0.845974393601917
kmer_entropy_3,5,3,0.857597894295142,0.8578668055370539
kmer_entropy_3,5,4,0.8626142020637434,0.8628961176210526
kmer_entropy_3,5,8,0.8996356978008354,0.8997575577607633
kmer_entropy_3,5,16,0.9315264452879132,0.9315769764073394
kmer_entropy_3,5,32,0.9332239790955388,0.9332819369617058
kmer_entropy_3,5,64,0.9330713917869882,0.9331161673509326
kmer_entropy_3,5,128,0.9327089969291804,0.9327647913783463
kmer_entropy_3,5,256,0.9323847488985104,0.9324446084033038
kmer_entropy_3,5,512,0.9322512350035286,0.9323081074380106
kmer_entropy_3,5,768,0.9322321615899598,0.9322715843388627
kmer_entropy_9,5,0,0.20025176905910852,0.19895749272173716
kmer_entropy_9,5,1,0.40988765759407964,0.39778679161413977
kmer_entropy_9,5,2,0.4116805584695493,0.4010074606781468
kmer_entropy_9,5,3,0.4309637795876328,0.4212342207229174
kmer_entropy_9,5,4,0.4496557248850827,0.4406106819398192
kmer_entropy_9,5,8,0.5270937839745179,0.5229332442780067
kmer_entropy_9,5,16,0.5533006542180854,0.549825653106789
kmer_entropy_9,5,32,0.5701424783993592,0.5664812151525507
kmer_entropy_9,5,64,0.578839954986744,0.5753152447111283
kmer_entropy_9,5,128,0.5830551793854546,0.5795888687414179
kmer_entropy_9,5,256,0.5824829769783898,0.5789974165514575
kmer_entropy_9,5,512,0.5819298479848939,0.5783531419594725
kmer_entropy_9,5,768,0.5811669114421408,0.5776588460269318
dinuc_CG,5,0,0.20101470560186158,0.19865465916523137
dinuc_CG,5,1,0.47561464075225546,0.47656763995866047
dinuc_CG,5,2,0.4979496080413512,0.5011980755989628
dinuc_CG,5,3,0.49964714184897674,0.502241071275242
dinuc_CG,5,4,0.5366877109996376,0.5331150662013606
dinuc_CG,5,8,0.6166243872665891,0.6159489918591089
dinuc_CG,5,16,0.7821816170440024,0.7829796433106317
dinuc_CG,5,32,0.7863205477884377,0.787197243375404
dinuc_CG,5,64,0.787712906978962,0.7887193018915737
dinuc_CG,5,128,0.7867592363005207,0.7875535368599809
dinuc_CG,5,256,0.7870071906769155,0.7878071808473126
dinuc_CG,5,512,0.7850235556657575,0.7857830996905213
dinuc_CG,5,768,0.7868927501955025,0.7877266291785856
dinuc_GC,5,0,0.19946975910278664,0.1959090498900548
dinuc_GC,5,1,0.6179213793892693,0.6190379726236558
dinuc_GC,5,2,0.6191992980983807,0.6201119500631052
dinuc_GC,5,3,0.6304335386904194,0.6312881296918137
dinuc_GC,5,4,0.6317496042266685,0.6326427475015606
dinuc_GC,5,8,0.689046138587423,0.690049864246844
dinuc_GC,5,16,0.7586831715272082,0.7595886512569694
dinuc_GC,5,32,0.7891052661694864,0.7898182490950825
dinuc_GC,5,64,0.7991378817066891,0.799783337116667
dinuc_GC,5,128,0.7982986515096607,0.7991310783155566
dinuc_GC,5,256,0.7994430563237903,0.8002265890949047
dinuc_GC,5,512,0.7985466058860554,0.7993648686315697
dinuc_GC,5,768,0.7985275324724866,0.7993454430292626
dinuc_AT,5,0,0.20049972343550326,0.1984026738714558
dinuc_AT,5,1,0.6521009365046062,0.6550051095925357
dinuc_AT,5,2,0.6522916706402945,0.6544783525988818
dinuc_AT,5,3,0.655209902916325,0.6572854398940494
dinuc_AT,5,4,0.6548475080585172,0.6571328979108129
dinuc_AT,5,8,0.7726449102595891,0.773728640881687
dinuc_AT,5,16,0.8039443819260333,0.8047666400845352
dinuc_AT,5,32,0.8590474737263728,0.8596163452236125
dinuc_AT,5,64,0.8578077018443991,0.8583776593725455
dinuc_AT,5,128,0.8588758130042534,0.8594355569962545
dinuc_AT,5,256,0.8591619142077858,0.8597321657936348
dinuc_AT,5,512,0.8590665471399417,0.8596229895113524
dinuc_AT,5,768,0.859028400312804,0.8596164582518074
dinuc_TA,5,0,0.20112914608327453,0.20029291365100832
dinuc_TA,5,1,0.6210494192145568,0.6219615682235686
dinuc_TA,5,2,0.6233000820156783,0.6254291162312217
dinuc_TA,5,3,0.6251502031318545,0.6272456148678992
dinuc_TA,5,4,0.6308340803753648,0.6325744824238687
dinuc_TA,5,8,0.8030860783154361,0.8033871188729851
dinuc_TA,5,16,0.8392111236147933,0.8394585075429959
dinuc_TA,5,32,0.8570638387152149,0.8574177078889018
dinuc_TA,5,64,0.8595433824791623,0.859871491721702
dinuc_TA,5,128,0.8583799042514639,0.8586859682800727
dinuc_TA,5,256,0.8582845371836197,0.8585904024989619
dinuc_TA,5,512,0.8580938030479315,0.8584141898360622
dinuc_TA,5,768,0.8571019855423525,0.8574307211150713
dinuc_AA,5,0,0.20242613820595473,0.20017073463317683
dinuc_AA,5,1,0.5153445612161208,0.5167892882662584
dinuc_AA,5,2,0.7427377977836693,0.744002947374166
dinuc_AA,5,3,0.7514734211981918,0.7524831588350568
dinuc_AA,5,4,0.7532091018329551,0.7542793637627845
dinuc_AA,5,8,0.8601155848862271,0.8602939042978857
dinuc_AA,5,16,0.8801045223063572,0.8803112920578885
dinuc_AA,5,32,0.884300673291499,0.8845465133656571
dinuc_AA,5,64,0.8845104808407561,0.884749808817429
dinuc_AA,5,128,0.8838238379522784,0.8840727959361011
dinuc_AA,5,256,0.8834805165080395,0.8837414375260175
dinuc_AA,5,512,0.8837666177115718,0.8840310749098901
dinuc_AA,5,768,0.8838238379522784,0.884073524207119
dinuc_TT,5,0,0.20065231074405387,0.1993725794252288
dinuc_TT,5,1,0.5136279539949264,0.5127351428251445
dinuc_TT,5,2,0.7387896011749223,0.7400085955125336
dinuc_TT,5,3,0.7503290163840622,0.7510494593236975
dinuc_TT,5,4,0.7752007476778119,0.7757528973501697
dinuc_TT,5,8,0.8597913368555571,0.8600301406559957
dinuc_TT,5,16,0.8739819565507639,0.8743144360181836
dinuc_TT,5,32,0.8791889984550535,0.879556998340145
dinuc_TT,5,64,0.8793988060043106,0.8797534634952411
dinuc_TT,5,128,0.8783306948444564,0.8787080339355532
dinuc_TT,5,256,0.8779682999866486,0.8783383952225735
dinuc_TT,5,512,0.8776440519559786,0.8779749126265692
dinuc_TT,5,768,0.8777775658509603,0.8781287538874178
