n_samples,rank,eigenvalue,cumulative_variance
65536,122,5.386824e-05,0.9998766
65536,123,4.9531776e-05,0.9999043
65536,124,4.7529917e-05,0.9999308
65536,125,4.6891502e-05,0.99995697
65536,126,4.1929616e-05,0.9999804
65536,127,3.5708545e-05,1.0000004
65536,128,3.0672936e-11,1.0000004
262144,1,1.3524507,0.75308144
262144,2,0.12108081,0.8205025
262144,3,0.09803675,0.875092
262144,4,0.06374385,0.91058636
262144,5,0.032240357,0.9285387
262144,6,0.012575121,0.93554085
262144,7,0.010037629,0.9411301
262144,8,0.00973822,0.94655263
262144,9,0.008255797,0.9511497
262144,10,0.00617124,0.954586
262144,11,0.0053930986,0.95758903
262144,12,0.004738744,0.96022767
262144,13,0.0044761216,0.9627201
262144,14,0.004063035,0.9649825
262144,15,0.0035863656,0.9669795
262144,16,0.0031805339,0.96875054
262144,17,0.0029531254,0.9703949
262144,18,0.002811516,0.9719604
262144,19,0.0026120525,0.9734149
262144,20,0.0023307712,0.9747127
262144,21,0.0023050583,0.97599626
262144,22,0.0021212795,0.97717744
262144,23,0.0019514689,0.9782641
262144,24,0.0018776058,0.9793096
262144,25,0.0016985079,0.98025537
262144,26,0.001559125,0.9811235
262144,27,0.0014166359,0.9819123
262144,28,0.0014007255,0.9826923
262144,29,0.0013212195,0.983428
262144,30,0.0012758829,0.9841384
262144,31,0.0012074705,0.98481077
262144,32,0.0011284258,0.9854391
262144,33,0.0011132212,0.986059
262144,34,0.0010625396,0.98665065
262144,35,0.00097655936,0.9871944
262144,36,0.00093724095,0.9877163
262144,37,0.0008809526,0.98820686
262144,38,0.0008057802,0.98865557
262144,39,0.00074417936,0.98906994
262144,40,0.00072172796,0.9894718
262144,41,0.00068118534,0.9898511
262144,42,0.000659015,0.9902181
262144,43,0.0006430767,0.9905762
262144,44,0.0006245468,0.990924
262144,45,0.00058440055,0.9912494
262144,46,0.00055807026,0.9915601
262144,47,0.0005457037,0.99186397
262144,48,0.00050510914,0.99214524
262144,49,0.00048734923,0.9924166
262144,50,0.00047933994,0.99268353
262144,51,0.0004449323,0.9929313
262144,52,0.0004385628,0.9931755
262144,53,0.0004244139,0.99341184
262144,54,0.00038956455,0.99362874
262144,55,0.00037715872,0.9938387
262144,56,0.00037327665,0.99404657
262144,57,0.00036813857,0.99425155
262144,58,0.00035449959,0.99444896
262144,59,0.00032606954,0.9946305
262144,60,0.00031789488,0.99480754
262144,61,0.00031099629,0.9949807
262144,62,0.0003003864,0.99514794
262144,63,0.0002919638,0.99531054
262144,64,0.0002781181,0.9954654
262144,65,0.0002763196,0.99561924
262144,66,0.00027341273,0.99577147
262144,67,0.0002662991,0.99591976
262144,68,0.0002627648,0.9960661
262144,69,0.00024495882,0.99620247
262144,70,0.00024075853,0.9963365
262144,71,0.00023310259,0.99646634
262144,72,0.0002193387,0.99658847
262144,73,0.00021617896,0.99670887
262144,74,0.00021225064,0.99682707
262144,75,0.00021149135,0.99694484
262144,76,0.00019385829,0.9970528
262144,77,0.00018974792,0.99715847
262144,78,0.00018940009,0.9972639
262144,79,0.00018579178,0.9973674
262144,80,0.00018261865,0.99746907
262144,81,0.00017278804,0.99756527
262144,82,0.00016892726,0.9976593
262144,83,0.00016215009,0.9977496
262144,84,0.00015864408,0.99783796
262144,85,0.00015453447,0.99792403
262144,86,0.0001490319,0.998007
262144,87,0.00014175144,0.9980859
262144,88,0.00014107703,0.9981645
262144,89,0.00013869052,0.9982417
262144,90,0.00012906347,0.9983136
262144,91,0.00012687643,0.99838424
262144,92,0.0001225098,0.9984524
262144,93,0.00012115063,0.9985199
262144,94,0.00011799257,0.9985856
262144,95,0.00011719352,0.99865085
262144,96,0.000114410796,0.99871457
262144,97,0.00011045149,0.9987761
262144,98,0.00010987888,0.99883723
262144,99,0.00010713978,0.9988969
262144,100,0.00010235446,0.9989539
262144,101,9.984023e-05,0.9990095
262144,102,9.411902e-05,0.9990619
262144,103,9.28932e-05,0.9991136
262144,104,9.09501e-05,0.9991643
262144,105,9.046392e-05,0.99921465
262144,106,8.9490975e-05,0.9992645
262144,107,8.40152e-05,0.99931127
262144,108,8.091263e-05,0.9993563
262144,109,7.8477446e-05,0.9994
262144,110,7.684488e-05,0.9994428
262144,111,7.4989926e-05,0.9994846
262144,112,7.4307856e-05,0.99952596
262144,113,7.239076e-05,0.99956626
262144,114,7.003954e-05,0.99960524
262144,115,6.884582e-05,0.99964356
262144,116,6.662294e-05,0.99968064
262144,117,6.321627e-05,0.99971586
262144,118,6.246442e-05,0.9997507
262144,119,5.8491707e-05,0.9997832
262144,120,5.747143e-05,0.9998152
262144,121,5.5828383e-05,0.99984634
262144,122,5.4021464e-05,0.99987644
262144,123,5.0441766e-05,0.9999045
262144,124,4.7357917e-05,0.99993086
262144,125,4.6657377e-05,0.99995685
262144,126,4.2184893e-05,0.99998033
262144,127,3.584567e-05,1.0000002
262144,128,4.5367654e-10,1.0000002
