true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Carabica,2,0,1,1,2,0,0,2,0,3,151,0,3,0,3,3,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,2,2,0,4,0,0,2,2,0,1,0,0,2,0,0,0,5,0,0,1,0,0
Carietinum,0,0,2,8,3,0,0,0,1,0,0,86,0,0,2,0,0,0,0,0,1,1,1,0,0,0,12,0,0,5,7,6,1,1,1,0,0,0,18,0,0,0,0,0,1,2,3,0,1,1,3,0,3,1,1,2,0,0,0,0,10,7,2,0,0
Cavellana,2,0,1,1,0,0,0,39,0,2,1,0,76,1,8,9,11,0,0,0,2,0,0,1,1,2,0,0,1,1,0,4,0,0,0,7,2,0,0,1,3,0,0,1,10,1,0,0,0,17,0,0,0,0,1,4,0,0,0,5,0,0,4,0,0
Ccitriodora,1,9,1,0,1,0,0,2,0,1,2,0,0,60,2,0,7,0,0,0,2,1,1,54,0,1,0,0,0,0,0,0,1,1,4,6,0,0,0,21,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,3,0,0,0,2,1,0,0,0,0
Cclementina,4,1,0,4,0,0,0,6,0,1,1,1,3,1,40,8,1,0,0,0,2,3,1,0,0,3,1,0,0,0,1,1,0,0,0,2,4,0,0,3,4,0,1,0,6,7,43,1,0,5,7,0,0,0,0,9,0,0,0,3,2,0,4,4,0
Cillinoinensis,2,2,0,2,3,0,0,11,0,0,1,0,13,1,8,81,13,0,1,1,3,1,0,2,0,6,0,0,0,0,1,4,0,2,0,2,4,0,1,7,1,0,0,2,4,3,10,0,0,6,3,0,0,0,0,5,0,0,0,0,1,0,7,3,1
Ckanehirae,3,3,0,2,1,0,0,8,0,0,0,0,5,2,0,7,191,1,0,0,2,0,1,0,0,1,0,0,0,0,1,2,0,0,1,1,1,0,0,12,1,0,0,1,11,1,2,0,0,11,0,0,0,1,0,1,0,0,0,5,1,0,6,1,1
Cquinoa,6,0,14,0,0,0,0,1,0,27,0,1,1,0,0,3,4,120,1,1,1,2,0,0,0,1,1,3,0,1,2,2,0,0,0,0,0,0,1,2,1,0,0,3,1,0,3,0,0,1,0,0,25,0,0,1,0,0,0,1,2,0,1,0,0
Crubella,0,0,0,2,0,46,0,0,22,0,0,0,0,0,0,1,0,0,39,0,0,1,0,0,25,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,31,0,1,0,0,0,0,0,0,0,2,0
Csativus,2,0,1,1,1,0,0,0,0,0,1,1,3,0,2,5,1,0,2,113,0,0,1,2,0,0,2,0,0,2,6,5,0,0,0,2,0,0,0,0,1,0,0,2,1,2,5,0,0,3,4,0,0,0,0,3,0,0,0,0,3,1,8,0,0
Dalata,2,2,1,2,2,0,0,1,0,0,0,1,2,2,4,4,4,0,1,1,135,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,3,1,1,0,1,0,3,5,2,0,1,6,1,0,1,0,1,4,0,0,0,0,0,1,6,2,0
Dcarota,9,2,3,5,1,0,0,1,0,2,0,1,0,0,1,1,0,4,2,0,0,136,0,0,0,2,0,1,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,1,1,0,4,0,1,1,0,0,5,0,0,2,0,0,0,1,3,0,0,4,0
Ecoracana,0,2,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,72,0,0,0,0,0,2,1,0,0,0,0,0,1,0,12,0,1,0,6,24,0,0,0,0,17,7,0,0,8,0,0,0,0,15,6,4,0,0,0,0,0,6
Egrandis,2,5,0,0,2,0,2,4,1,0,6,0,0,49,1,4,2,0,0,0,1,0,2,62,0,0,0,0,0,0,1,0,0,3,7,5,0,0,0,23,0,1,1,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
Esalsugineum,1,0,0,2,0,28,0,1,21,0,0,0,0,0,1,0,0,0,28,1,0,0,0,0,56,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,35,0,0,0,0,0,0,1,0,0,3,0
Fvesca,13,1,2,1,3,1,0,6,0,0,1,0,6,2,3,4,2,0,5,2,0,0,0,0,0,84,1,0,0,1,1,5,0,8,0,5,0,1,0,1,0,0,0,3,7,0,2,2,0,2,0,0,1,0,0,0,0,0,0,3,1,0,0,1,1
Gmax,1,0,0,4,1,0,0,2,0,0,0,17,0,0,0,2,0,0,0,0,3,0,0,1,0,1,105,0,0,5,4,17,0,0,0,0,2,0,4,0,0,0,0,0,0,2,4,0,0,7,2,0,0,0,0,1,0,0,0,0,4,18,3,0,0
Hannuus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,188,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1
Hvulgare,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,87,0,0,1,1,0,0,0,0,4,0,0,0,2,5,0,0,0,0,2,2,0,0,1,0,0,1,0,2,42,40,1,0,0,0,0,1
Lalbus,7,0,6,5,0,0,0,1,1,0,0,9,0,0,1,1,0,0,0,1,2,0,1,0,0,0,8,0,0,94,10,10,0,0,0,0,1,0,5,0,0,0,0,0,1,4,4,0,0,3,0,0,0,0,0,1,0,0,0,1,7,4,3,1,0
Lervoides,2,0,2,9,0,0,0,2,0,1,0,18,0,0,0,0,0,1,0,1,1,0,1,0,0,0,5,0,0,7,84,10,0,0,1,6,0,0,7,0,2,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,38,3,2,2,0
Ljaponicus,8,2,2,13,1,0,0,1,1,1,0,2,4,1,0,3,3,1,0,0,2,0,0,0,0,2,16,0,1,12,10,83,0,1,0,6,0,0,4,4,3,1,0,1,6,1,3,0,0,4,0,0,2,1,0,2,0,0,0,2,7,2,1,2,0
Lsativa,3,0,1,1,3,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,2,2,133,1,1,0,1,0,1,1,1,0,0,0,2,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,2,0,1,1,0
Lusitatissimum,3,0,0,0,0,1,1,2,3,1,1,0,0,5,2,0,0,0,1,3,0,0,0,4,1,7,0,0,0,0,1,1,0,106,0,9,0,0,0,2,1,1,0,3,1,0,1,0,0,0,1,0,0,2,3,0,0,0,0,2,1,0,0,3,0
Macuminata,0,2,0,1,5,0,0,1,0,0,0,1,0,4,1,0,0,0,1,0,3,0,2,3,0,1,1,0,0,0,0,0,0,0,163,0,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
Mdomestica,5,4,3,1,1,0,0,5,1,1,1,0,6,3,6,7,3,0,0,1,0,1,0,4,0,5,0,0,0,0,1,10,0,8,0,42,0,0,1,1,7,0,0,1,10,3,6,0,1,3,1,0,1,0,1,0,1,0,1,20,2,0,2,2,0
Mesculenta,3,3,0,3,2,0,0,5,0,1,3,2,3,0,2,2,2,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,123,0,0,3,3,0,0,0,7,13,8,0,0,2,4,0,0,0,0,3,0,0,0,0,0,0,7,0,2
Msinensis,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,47,0,0,1,6,8,0,0,0,0,20,10,0,0,19,0,0,2,0,19,3,1,0,1,0,0,0,12
Mtruncatula,5,0,0,0,2,0,0,0,1,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,15,22,1,0,1,0,0,0,96,0,1,0,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,7,0,1,1,0
Ncolorata,2,4,0,1,0,0,1,1,0,0,3,0,0,6,1,3,13,0,0,0,2,0,2,14,0,0,0,0,0,0,2,0,0,0,8,1,0,1,1,139,1,1,1,0,2,2,1,0,1,1,0,0,1,0,5,5,1,0,0,6,2,1,5,1,0
Oeuropaea,3,3,9,7,1,0,0,4,0,3,2,1,3,2,8,6,4,0,0,1,0,2,0,3,0,1,0,0,0,0,3,1,0,3,0,8,1,0,1,0,48,0,0,3,1,0,9,0,0,6,3,0,0,0,1,3,0,0,0,10,3,0,2,1,0
Osativa,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,108,12,0,0,0,0,7,13,0,0,12,1,0,1,1,10,5,0,0,1,1,0,0,0
Othomaeum,1,1,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,2,0,7,68,0,0,1,0,20,7,0,0,7,0,0,0,0,19,0,3,0,0,0,1,0,2
Pamilis,7,2,8,0,0,0,0,7,0,3,0,0,0,1,0,1,7,4,1,0,0,2,0,0,1,2,0,1,0,0,1,0,2,3,0,2,0,0,0,2,2,0,0,111,2,0,0,0,0,2,1,0,2,0,3,0,0,0,0,8,1,0,1,0,0
Ppersica,8,4,0,2,2,0,0,5,0,0,0,0,6,1,6,8,10,0,0,1,0,0,0,5,0,7,0,0,0,1,4,7,0,2,0,9,0,1,0,3,2,0,0,6,47,1,7,0,0,7,1,0,0,1,0,2,0,0,0,10,2,0,1,0,0
Ptrichocarpa,4,1,0,5,0,0,0,10,0,0,3,2,4,3,6,9,3,0,0,0,11,1,0,0,0,2,1,0,0,1,5,1,0,0,0,1,6,0,0,3,2,0,0,0,1,58,8,0,0,5,1,0,0,0,0,37,0,0,0,1,3,0,4,3,0
