target,n_classes,n_components,accuracy,f1_macro,roc_auc_macro,auprc_macro
kmer_entropy_3,5,64,0.7963075984131828,0.7967919096584809,0.9617601244786028,0.8495585100271861
kmer_entropy_3,5,128,0.7931034482758621,0.79346195437754,0.9615082910530381,0.8470465747015009
kmer_entropy_3,5,256,0.7937137625877326,0.7941740284858997,0.9615641350563353,0.8485802425341038
kmer_entropy_3,5,512,0.7906621910283796,0.7905353731835276,0.9600892986250908,0.8434475600906091
kmer_entropy_3,5,768,0.7907384803173635,0.790860490911012,0.9599951360395768,0.8422500566171836
kmer_entropy_9,5,0,0.2014037229173024,0.200472502020205,0.5003059684485717,0.20039737660985088
kmer_entropy_9,5,1,0.22047604516325908,0.21567312047240464,0.5295677484400134,0.21906317832667788
kmer_entropy_9,5,2,0.43446750076289287,0.4239383622040994,0.7493480534143744,0.4223871753741908
kmer_entropy_9,5,3,0.43973146170277694,0.4270132978895641,0.7625167998608753,0.4452700221289957
kmer_entropy_9,5,4,0.46948428440646933,0.46064540356076356,0.7890586701530371,0.4849620619553333
kmer_entropy_9,5,8,0.5137320720170888,0.5065335430593075,0.8241743465496073,0.5355049632930756
kmer_entropy_9,5,16,0.5588190418065304,0.5537389435792488,0.8550300822653721,0.594497503060011
kmer_entropy_9,5,32,0.5721696673787,0.5673932666697208,0.8637215987520556,0.610686796815509
kmer_entropy_9,5,64,0.5782728104974062,0.5730601716410878,0.8668016135924811,0.6153772322404983
kmer_entropy_9,5,128,0.5831553249923711,0.5781265464909462,0.8669285706562387,0.617801560128542
kmer_entropy_9,5,256,0.5796460176991151,0.574364851664296,0.8667111315352928,0.6170274472798526
kmer_entropy_9,5,512,0.5736191638693927,0.5680189164181121,0.8636224546145504,0.6128398757772018
kmer_entropy_9,5,768,0.5703387244430882,0.5642806668337494,0.8627672351052166,0.6103763235054105
dinuc_CG,5,0,0.200259383582545,0.19789889862010293,0.5047452897707541,0.20221227885122328
dinuc_CG,5,1,0.21704302715898688,0.21559445510669387,0.5324860284369342,0.21910553551446316
dinuc_CG,5,2,0.41058895331095513,0.40875073288108343,0.7461909099328446,0.4352000714173251
dinuc_CG,5,3,0.5349404943545926,0.535620658738287,0.8368637373728445,0.5547145323225696
dinuc_CG,5,4,0.5472993591699725,0.5475789131903397,0.8470621346483547,0.5671414251512059
dinuc_CG,5,8,0.5744583460482149,0.574418168816402,0.8626182432998645,0.5954581148473961
dinuc_CG,5,16,0.6353371986573085,0.6342819074500073,0.895596005077202,0.6630395760032192
dinuc_CG,5,32,0.6582239853524565,0.6581339364974913,0.9073530678564943,0.6876341386602858
dinuc_CG,5,64,0.664174549893195,0.6637096596232572,0.9116669814753046,0.7015161805943722
dinuc_CG,5,128,0.6600549282880683,0.6591561849355336,0.9106144213090271,0.6981670073406608
dinuc_CG,5,256,0.6635642355813244,0.6620308750242324,0.9108606089637415,0.6982359062645871
dinuc_CG,5,512,0.6600549282880683,0.6579563290343666,0.9104212919641835,0.6980418823402702
dinuc_CG,5,768,0.6611992676228258,0.6593489011057854,0.9096287600187785,0.6959242605605296
dinuc_GC,5,0,0.20125114433933475,0.20018060027678106,0.49539207553072184,0.1988136855499182
dinuc_GC,5,1,0.2287915776624962,0.2190848751827034,0.5360354162881343,0.22384031730001247
dinuc_GC,5,2,0.5729325602685383,0.5755428378798576,0.8615599986306943,0.5985317516992924
dinuc_GC,5,3,0.6022276472383278,0.6037732637080871,0.8758493378535777,0.6322691539437234
dinuc_GC,5,4,0.6033719865730851,0.6042540622211885,0.8788945387790579,0.6398886648834022
dinuc_GC,5,8,0.6312938663411657,0.6305839215887217,0.8937632874545983,0.6689711557275073
